verb_infinitive,deck_guid,deck_name
essere,795866076341,Italian::A1::Verbs::essere_aspettare
abitare,795866076341,Italian::A1::Verbs::essere_aspettare
aiutare,795866076341,Italian::A1::Verbs::essere_aspettare
alzarsi,795866076341,Italian::A1::Verbs::essere_aspettare
amare,795866076341,Italian::A1::Verbs::essere_aspettare
andare,795866076341,Italian::A1::Verbs::essere_aspettare
aprire,795866076341,Italian::A1::Verbs::essere_aspettare
arrivare,795866076341,Italian::A1::Verbs::essere_aspettare
ascoltare,795866076341,Italian::A1::Verbs::essere_aspettare
aspettare,795866076341,Italian::A1::Verbs::essere_aspettare
avere,534128169818,Italian::A1::Verbs::avere_cercare
ballare,534128169818,Italian::A1::Verbs::avere_cercare
bere,534128169818,Italian::A1::Verbs::avere_cercare
cambiare,534128169818,Italian::A1::Verbs::avere_cercare
camminare,534128169818,Italian::A1::Verbs::avere_cercare
cantare,534128169818,Italian::A1::Verbs::avere_cercare
capire,534128169818,Italian::A1::Verbs::avere_cercare
cavalcare,534128169818,Italian::A1::Verbs::avere_cercare
cenare,534128169818,Italian::A1::Verbs::avere_cercare
cercare,534128169818,Italian::A1::Verbs::avere_cercare
chiamare,116865608807,Italian::A1::Verbs::chiamare_creare
chiedere,116865608807,Italian::A1::Verbs::chiamare_creare
chiudere,116865608807,Italian::A1::Verbs::chiamare_creare
cominciare,116865608807,Italian::A1::Verbs::chiamare_creare
comprare,116865608807,Italian::A1::Verbs::chiamare_creare
conoscere,116865608807,Italian::A1::Verbs::chiamare_creare
controllare,116865608807,Italian::A1::Verbs::chiamare_creare
correre,116865608807,Italian::A1::Verbs::chiamare_creare
costare,116865608807,Italian::A1::Verbs::chiamare_creare
creare,116865608807,Italian::A1::Verbs::chiamare_creare
credere,25192925024,Italian::A1::Verbs::credere_fare
cucinare,25192925024,Italian::A1::Verbs::credere_fare
danzare,25192925024,Italian::A1::Verbs::credere_fare
dare,25192925024,Italian::A1::Verbs::credere_fare
dimenticare,25192925024,Italian::A1::Verbs::credere_fare
dire,25192925024,Italian::A1::Verbs::credere_fare
disegnare,25192925024,Italian::A1::Verbs::credere_fare
divertirsi,25192925024,Italian::A1::Verbs::credere_fare
entrare,25192925024,Italian::A1::Verbs::credere_fare
fare,25192925024,Italian::A1::Verbs::credere_fare
fermare,817402220559,Italian::A1::Verbs::fermare_iniziare
finire,817402220559,Italian::A1::Verbs::fermare_iniziare
fumare,817402220559,Italian::A1::Verbs::fermare_iniziare
giocare,817402220559,Italian::A1::Verbs::fermare_iniziare
guardare,817402220559,Italian::A1::Verbs::fermare_iniziare
guidare,817402220559,Italian::A1::Verbs::fermare_iniziare
imparare,817402220559,Italian::A1::Verbs::fermare_iniziare
incontrare,817402220559,Italian::A1::Verbs::fermare_iniziare
indossare,817402220559,Italian::A1::Verbs::fermare_iniziare
iniziare,817402220559,Italian::A1::Verbs::fermare_iniziare
insegnare,41780089388,Italian::A1::Verbs::insegnare_mettere
inviare,41780089388,Italian::A1::Verbs::insegnare_mettere
invitare,41780089388,Italian::A1::Verbs::insegnare_mettere
lasciare,41780089388,Italian::A1::Verbs::insegnare_mettere
lavare,41780089388,Italian::A1::Verbs::insegnare_mettere
lavorare,41780089388,Italian::A1::Verbs::insegnare_mettere
leggere,41780089388,Italian::A1::Verbs::insegnare_mettere
mandare,41780089388,Italian::A1::Verbs::insegnare_mettere
mangiare,41780089388,Italian::A1::Verbs::insegnare_mettere
mettere,41780089388,Italian::A1::Verbs::insegnare_mettere
morire,544635933530,Italian::A1::Verbs::morire_piacere
mostrare,544635933530,Italian::A1::Verbs::morire_piacere
nuotare,544635933530,Italian::A1::Verbs::morire_piacere
ottenere,544635933530,Italian::A1::Verbs::morire_piacere
pagare,544635933530,Italian::A1::Verbs::morire_piacere
parcheggiare,544635933530,Italian::A1::Verbs::morire_piacere
parlare,544635933530,Italian::A1::Verbs::morire_piacere
partire,544635933530,Italian::A1::Verbs::morire_piacere
pensare,544635933530,Italian::A1::Verbs::morire_piacere
piacere,544635933530,Italian::A1::Verbs::morire_piacere
piovere,259424387225,Italian::A1::Verbs::piovere_rispondere
portare,259424387225,Italian::A1::Verbs::piovere_rispondere
potere,259424387225,Italian::A1::Verbs::piovere_rispondere
pranzare,259424387225,Italian::A1::Verbs::piovere_rispondere
prendere,259424387225,Italian::A1::Verbs::piovere_rispondere
preoccuparsi,259424387225,Italian::A1::Verbs::piovere_rispondere
pulire,259424387225,Italian::A1::Verbs::piovere_rispondere
ricordare,259424387225,Italian::A1::Verbs::piovere_rispondere
ridere,259424387225,Italian::A1::Verbs::piovere_rispondere
rispondere,259424387225,Italian::A1::Verbs::piovere_rispondere
scegliere,492168412665,Italian::A1::Verbs::scegliere_telefonare
scrivere,492168412665,Italian::A1::Verbs::scegliere_telefonare
scusarsi,492168412665,Italian::A1::Verbs::scegliere_telefonare
sedersi,492168412665,Italian::A1::Verbs::scegliere_telefonare
sentire,492168412665,Italian::A1::Verbs::scegliere_telefonare
stare,492168412665,Italian::A1::Verbs::scegliere_telefonare
studiare,492168412665,Italian::A1::Verbs::scegliere_telefonare
suonare,492168412665,Italian::A1::Verbs::scegliere_telefonare
svegliarsi,492168412665,Italian::A1::Verbs::scegliere_telefonare
telefonare,492168412665,Italian::A1::Verbs::scegliere_telefonare
uscire,445683909629,Italian::A1::Verbs::uscire_volere
usare,445683909629,Italian::A1::Verbs::uscire_volere
vedere,445683909629,Italian::A1::Verbs::uscire_volere
venire,445683909629,Italian::A1::Verbs::uscire_volere
viaggiare,445683909629,Italian::A1::Verbs::uscire_volere
visitare,445683909629,Italian::A1::Verbs::uscire_volere
vivere,445683909629,Italian::A1::Verbs::uscire_volere
volare,445683909629,Italian::A1::Verbs::uscire_volere
volere,445683909629,Italian::A1::Verbs::uscire_volere
